key,index,indexSymbol,last,variation,percentChange,open,high,low,previousClose,yearHigh,yearLow,pe,pb,dy,declines,advances,unchanged,perChange365d,perChange30d,previousDay,oneWeekAgoVal,oneMonthAgoVal,oneYearAgoVal
INDICES ELIGIBLE IN DERIVATIVES,NIFTY 50,NIFTY 50,24278.9,26.9,0.11,24285.05,24313.0,24271.1,24252.0,26373.2,22182.55,20.5,2.94,1.16,21,28,1,-2.38,2.15,21-Aug-2026,24287.65,23767.45,24870.1
INDICES ELIGIBLE IN DERIVATIVES,NIFTY NEXT 50,NIFTY NEXT 50,73923.7,-68.4,-0.09,73965.8,74043.3,73872.75,73992.1,74878.45,59896.1,19.56,3.32,1.1,26,23,1,9.45,3.01,21-Aug-2026,74474.1,71766.0,67540.1
INDICES ELIGIBLE IN DERIVATIVES,NIFTY BANK,NIFTY BANK,57712.55,-49.4,-0.09,57828.15,57873.75,57703.55,57761.95,61764.85,49954.85,13.67,1.73,0.7,10,3,1,4.65,1.8,21-Aug-2026,57497.8,56693.5,55149.4
INDICES ELIGIBLE IN DERIVATIVES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,26305.7,44.7,0.17,26272.3,26361.65,26264.55,26261.0,28562.5,23373.95,16.11,2.44,0.94,8,11,1,-0.04,1.53,21-Aug-2026,26217.15,25909.9,26317.05
INDICES ELIGIBLE IN DERIVATIVES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,14904.55,29.1,0.2,14891.75,14909.45,14867.75,14875.45,15078.15,12046.2,34.86,4.48,0.5,11,13,1,15.22,3.25,21-Aug-2026,14948.6,14436.05,12935.8
INDICES ELIGIBLE IN DERIVATIVES,NIFTY INDIA FPI 150,NIFTY FPI 150,1577.25,1.4,0.09,1577.65,1578.95,1576.55,1575.85,1641.4,1346.5,22.56,3.36,1.06,68,79,3,0.0,2.5,21-Aug-2026,1579.55,1538.85,0.0
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,25414.0,17.95,0.07,25422.55,25448.55,25406.55,25396.05,26975.15,22720.45,20.32,3,1.15,47,51,2,-0.32,2.31,21-Aug-2026,25457.3,24840.75,25495.6
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,14120.75,17.65,0.13,14118.95,14133.55,14110.85,14103.1,14700.95,12396.1,21.81,3.21,1.03,81,116,3,1.77,2.6,21-Aug-2026,14133.85,13762.4,13875.4
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23570.4,40.1,0.17,23560.6,23587.85,23548.25,23530.3,24144.2,20385.65,22.86,3.29,0.97,181,314,5,2.52,2.87,21-Aug-2026,23564.45,22913.3,22991.3
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,18348.25,28.0,0.15,18334.65,18357.6,18309.95,18320.25,18403.5,14804.55,36.03,4.45,0.52,22,27,1,12.52,3.61,21-Aug-2026,18279.0,17709.45,16306.85
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,63952.7,216.95,0.34,63828.75,63986.8,63770.0,63735.75,64139.05,52032.85,30.72,4.44,0.56,34,65,1,10.97,3.78,21-Aug-2026,63817.0,61622.35,57629.75
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,20058.95,81.2,0.41,20021.95,20080.3,20008.1,19977.75,20031.05,14986.0,31.66,3.61,0.57,35,65,0,11.94,6.27,21-Aug-2026,19809.25,18874.95,17919.5
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,11.2,0.0,0.06,11.2,11.29,10.32,11.2,28.91,8.72,0,0,0,,,,-4.52,-20.17,21-Aug-2026,11.33,14.03,11.73
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,23486.2,78.5,0.34,23445.9,23497.25,23427.6,23407.7,23545.0,19218.0,29.82,4.45,0.61,50,98,2,9.55,3.53,21-Aug-2026,23454.95,22685.25,21438.2
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,10018.15,31.1,0.31,10008.65,10023.1,9991.95,9987.05,10021.75,7338.35,32,3.5,0.59,21,29,0,16.11,7.0,21-Aug-2026,9901.9,9362.65,8628.05
BROAD MARKET INDICES,NIFTY SMALLCAP 250,NIFTY SMLCAP 250,18501.25,86.8,0.47,18454.0,18514.3,18446.4,18414.45,18447.1,14143.45,33.98,3.61,0.57,84,165,1,8.51,5.11,21-Aug-2026,18312.2,17601.2,17050.35
BROAD MARKET INDICES,NIFTY MIDSMALLCAP 400,NIFTY MIDSML 400,21679.15,82.5,0.38,21635.7,21686.8,21624.0,21596.65,21673.65,17390.85,31.13,4.12,0.59,134,263,3,9.11,4.07,21-Aug-2026,21584.0,20831.3,19868.6
BROAD MARKET INDICES,NIFTY500 MULTICAP 50:25:25,NIFTY500 MULTICAP,16750.75,39.85,0.24,16735.5,16758.45,16727.6,16710.9,16847.15,14102.2,24.83,3.43,0.87,181,314,5,4.44,3.31,21-Aug-2026,16715.85,16213.3,16038.8
BROAD MARKET INDICES,NIFTY LARGEMIDCAP 250,NIFTY LARGEMID250,16899.15,34.4,0.2,16887.35,16906.3,16878.5,16864.75,17077.75,14445.65,24.2,3.59,0.87,97,149,4,4.57,2.92,21-Aug-2026,16902.05,16419.45,16160.7
BROAD MARKET INDICES,NIFTY TOTAL MARKET,NIFTY TOTAL MKT,13319.45,25.35,0.19,13311.85,13327.95,13305.25,13294.1,13548.0,11436.55,23.06,3.3,0.95,253,491,8,2.93,3.02,21-Aug-2026,13309.15,12929.2,12940.85
BROAD MARKET INDICES,NIFTY MICROCAP 250,NIFTY MICROCAP250,26499.5,165.15,0.63,26397.3,26516.4,26391.75,26334.35,26388.15,18858.5,28.28,3.59,0.5,72,177,3,12.12,6.31,21-Aug-2026,26186.8,24926.65,23634.85
BROAD MARKET INDICES,NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED,NIFTY500 LMS EQL,18770.5,55.0,0.29,18745.65,18776.45,18737.8,18715.5,18831.8,15495.1,26.79,3.6,0.77,181,314,5,6.01,3.65,21-Aug-2026,18707.95,18109.4,17706.25
BROAD MARKET INDICES,NIFTY SMALLCAP 500,NIFTY SMALLCAP 500,21113.05,109.2,0.52,21050.05,21126.4,21044.15,21003.85,21038.85,15960.2,31.9,3.61,0.56,157,341,4,0.0,5.44,21-Aug-2026,20891.45,20022.95,0.0
BROAD MARKET INDICES,NIFTY MIDSMALLCAP400 50:50,NIFTY MIDSMALL 50 50,21150.85,84.95,0.4,21105.7,21157.3,21095.7,21065.9,21121.0,16874.3,31.77,3.99,0.59,134,263,3,0.0,4.32,21-Aug-2026,21028.7,20275.1,0.0
SECTORAL INDICES,NIFTY AUTO,NIFTY AUTO,29107.5,-17.1,-0.06,29143.9,29223.8,29023.8,29124.6,29865.5,23560.1,33.84,4.45,1.07,10,5,0,14.92,6.94,21-Aug-2026,29178.1,27217.95,25329.45
