Date,Symbol,SecurityName,ClientName,Buy/Sell,QuantityTraded,TradePrice/Wght.Avg.Price,Remarks
25-JUN-2026,ABINFRA,A B Infrabuild Limited,ARIHANT CAPITAL MARKETS LIMITED,BUY,"38,38,430",11.95,-
25-JUN-2026,ABINFRA,A B Infrabuild Limited,ARIHANT CAPITAL MARKETS LIMITED,SELL,"39,95,422",12.22,-
25-JUN-2026,AGIIL,Agi Infra Limited,ARIHANT CAPITAL MARKETS LIMITED,BUY,"11,24,577",365.68,-
25-JUN-2026,AGIIL,Agi Infra Limited,ARIHANT CAPITAL MARKETS LIMITED,SELL,"11,79,409",368.55,-
25-JUN-2026,ATALREAL,Atal Realtech Limited,ALTIZEN VENTURES LLP,SELL,"12,12,751",30.89,-
25-JUN-2026,ATALREAL,Atal Realtech Limited,ALTIZEN VENTURES LLP,BUY,"12,88,539",30.88,-
25-JUN-2026,ATALREAL,Atal Realtech Limited,VISHAL MAHESH WAGHELA,SELL,"8,038",31.06,-
25-JUN-2026,ATALREAL,Atal Realtech Limited,VISHAL MAHESH WAGHELA,SELL,"9,04,050",30.97,-
25-JUN-2026,ATALREAL,Atal Realtech Limited,VISHAL MAHESH WAGHELA,BUY,"15,95,000",30.99,-
25-JUN-2026,AVIENCE,Avience Biomedicals Ltd,GREEN PEAKS ENTERPRISES LLP,BUY,"48,600",414.95,-
25-JUN-2026,AVIENCE,Avience Biomedicals Ltd,KIFS  ENTERPRISE,BUY,"30,000",395.20,-
25-JUN-2026,AVIENCE,Avience Biomedicals Ltd,NEO APEX SHARE BROKING SERVICES LLP,BUY,"50,400",414.95,-
25-JUN-2026,AVIENCE,Avience Biomedicals Ltd,NIRAJ RAJNIKANT SHAH,BUY,"98,400",395.20,-
25-JUN-2026,BANSALWIRE,Bansal Wire Industries L,BNP PARIBAS FINANCIAL MARKETS,BUY,"9,70,874",309.00,-
25-JUN-2026,BANSALWIRE,Bansal Wire Industries L,HDFC MUTUAL FUND,BUY,"8,09,063",309.00,-
25-JUN-2026,BANSALWIRE,Bansal Wire Industries L,INVESCO MUTUAL FUND,BUY,"20,93,917",309.00,-
25-JUN-2026,BANSALWIRE,Bansal Wire Industries L,MALABAR INDIA FUND LIMITED,BUY,"8,09,062",309.00,-
25-JUN-2026,BANSALWIRE,Bansal Wire Industries L,MRINAAL MITTAL,SELL,"46,82,916",309.00,-
25-JUN-2026,EASEMYTRIP,Easy Trip Planners Ltd,PARNIT VENTURES PRIVATE LIMITED,SELL,"1,88,38,069",7.52,-
25-JUN-2026,EASEMYTRIP,Easy Trip Planners Ltd,PARNIT VENTURES PRIVATE LIMITED,BUY,"1,88,38,070",7.38,-
25-JUN-2026,EMCURE,Emcure Pharmaceuticals L,BC INVESTMENTS IV LIMITED,SELL,"9,69,729","1,817.00",-
25-JUN-2026,EMCURE,Emcure Pharmaceuticals L,BC INVESTMENTS IV LIMITED,SELL,"9,69,730","1,817.00",-
25-JUN-2026,EMSLIMITED,EMS Limited,HRTI PRIVATE LIMITED,BUY,"2,85,714",422.60,-
25-JUN-2026,EMSLIMITED,EMS Limited,HRTI PRIVATE LIMITED,SELL,"3,17,403",422.71,-
25-JUN-2026,GCSL,Gretex Corporate Services,MANSUKH SECURITIES & FINANCE LIMITED,SELL,"1,29,811",412.03,-
25-JUN-2026,GCSL,Gretex Corporate Services,MANSUKH SECURITIES & FINANCE LIMITED,BUY,"1,89,227",413.12,-
25-JUN-2026,HONASA,Honasa Consumer Limited,SOFINA VENTURES S.A.,SELL,"41,78,384",424.07,-
