fii_derivatives,buy_contracts,buy_value_in_Cr,sell_contracts,sell_value_in_Cr,open_contracts,open_contracts_value_in_Cr
BANKNIFTY FUTURES,2731.0,473.69,3676.0,637.29,58779.0,10158.66
FINNIFTY FUTURES,14.0,2.2,21.0,3.3,320.0,50.08
MIDCPNIFTY FUTURES,138.0,24.68,863.0,153.95,19747.0,3510.46
NIFTY FUTURES,12549.0,1969.74,23591.0,3703.8,192144.0,30104.76
NIFTYFPI FUTURES,0.0,0.0,0.0,0.0,0.0,0.0
NIFTYNXT50 FUTURES,2.0,0.36,0.0,0.0,478.0,87.17
INDEX OPTIONS,18498869.0,2902142.26,18661669.0,2927053.1,2247516.0,357406.75
BANKNIFTY OPTIONS,243763.0,42638.1,241731.0,42255.47,334386.0,57590.9
FINNIFTY OPTIONS,4700.0,751.81,4723.0,756.66,5196.0,810.7
MIDCPNIFTY OPTIONS,14482.0,2605.66,15021.0,2695.91,31496.0,5598.74
NIFTY OPTIONS,18235897.0,2856141.7,18400171.0,2881340.86,1876373.0,293394.68
NIFTYFPI OPTIONS,0.0,0.0,7.0,1.26,10.0,1.72
NIFTYNXT50 OPTIONS,27.0,4.99,16.0,2.95,55.0,10.02
STOCK FUTURES,209739.0,14462.32,222296.0,15787.66,6348077.0,427610.2
STOCK OPTIONS,452496.0,30345.47,456409.0,30387.1,664183.0,43588.27
