symbol,identifier,lastPrice,pChange,quantityTraded,totalTradedVolume,totalTradedValue,previousClose,exDate,purpose,yearHigh,yearLow,change,open,closePrice,dayHigh,dayLow,lastUpdateTime,fetch_by
HDFCBANK,HDFCBANKEQN,835.65,0.7,26798752,31092494,26010425855.7,829.85,19-Jun-2026,,1020.5,726.65,5.8,843.0,0,843.0,832.0,2026-07-07 12:32:46,value
TRENT,TRENTEQN,2952.6,-11.7,5703258,6256102,18808532735.86,3343.8,12-Jun-2026,,4174.0,2183.67,-391.2,3080.0,0,3080.0,2947.3,2026-07-07 12:32:46,value
CUPID,CUPIDEQN,220.6,3.52,63126432,68240507,14798636348.02,213.09,09-Mar-2026,,220.78,19.4,7.51,217.0,0,220.78,207.35,2026-07-07 12:32:46,value
INFY,INFYEQN,1079.8,3.61,12025051,13343816,14339931864.4,1042.2,10-Jun-2026,,1728.0,982.4,37.6,1040.6,0,1087.5,1040.6,2026-07-07 12:32:47,value
BSE,BSEEQN,3644.4,-4.16,3014805,3360961,12355396780.15,3802.7,10-Jul-2026,,4446.8,2021.5,-158.3,3820.0,0,3820.6,3630.6,2026-07-07 12:32:47,value
TITAN,TITANEQN,4602.2,2.63,2327492,2429892,11159813586.24,4484.4,09-Jul-2026,,4655.9,3303.1,117.8,4550.0,0,4655.9,4505.0,2026-07-07 12:32:47,value
NAUKRI,NAUKRIEQN,1134.55,10.67,8491752,9734271,10761041905.08,1025.15,24-Jul-2026,,1537.2,908.3,109.4,1032.0,0,1144.5,1029.0,2026-07-07 12:32:47,value
ICICIBANK,ICICIBANKEQN,1425.0,-0.13,6269712,7463126,10648015020.5,1426.9,12-Aug-2025,,1500.0,1187.6,-1.9,1431.6,0,1433.0,1421.4,2026-07-07 12:32:46,value
HSCL,HSCLEQN,661.0,-3.38,14190131,14773893,9953910408.75,684.15,22-May-2026,,718.0,418.5,-23.15,685.0,0,693.0,655.0,2026-07-07 12:32:43,value
RITES,RITESEQN,236.8,9.55,34190263,40432367,9404972887.87,216.15,10-Feb-2026,,299.8,175.0,20.65,226.3,0,237.4,226.3,2026-07-07 12:32:46,value
MCX,MCXEQN,2591.1,-4.85,2591559,3431169,9021915768.6,2723.1,02-Jan-2026,,3480.0,1460.8,-132.0,2730.0,0,2734.0,2577.5,2026-07-07 12:32:47,value
ETERNAL,ETERNALEQN,288.0,1.62,24078815,27850302,8025064521.3,283.4,,,368.45,212.6,4.6,283.8,0,291.0,283.55,2026-07-07 12:32:47,value
RELIANCE,RELIANCEEQN,1314.1,-0.54,4621857,6078476,8007298004.32,1321.3,05-Jun-2026,,1611.8,1253.2,-7.2,1323.5,0,1328.0,1310.0,2026-07-07 12:32:46,value
APOLLO,APOLLOEQN,403.35,-4.84,17945100,19100185,7768618245.05,423.85,08-Sep-2025,,466.5,162.34,-20.5,427.0,0,430.4,397.1,2026-07-07 12:32:46,value
DIXON,DIXONEQN,13235.0,-0.52,550175,580823,7715275197.05,13304.0,16-Sep-2025,,18471.0,9600.0,-69.0,13319.0,0,13436.0,13123.0,2026-07-07 12:32:43,value
ITDC,ITDCEQN,678.1,15.78,8198682,11460149,7537913004.75,585.7,08-Sep-2025,,712.8,368.0,92.4,589.6,0,690.0,586.4,2026-07-07 12:32:46,value
SHAREINDIA,SHAREINDIAEQN,159.14,15.8,37284849,43701912,6767678092.32,137.43,02-Feb-2026,,211.0,115.36,21.71,137.99,0,160.52,137.99,2026-07-07 12:32:46,value
KALYANKJIL,KALYANKJILEQN,360.5,-5.44,17382961,18286921,6512704044.94,381.25,04-Sep-2025,,617.7,327.05,-20.75,360.85,0,367.05,348.35,2026-07-07 12:32:46,value
TCS,TCSEQN,2099.4,2.03,2625766,2975425,6242590421.25,2057.6,25-May-2026,,3489.9,1976.8,41.8,2050.0,0,2122.7,2049.0,2026-07-07 12:32:47,value
BHARTIARTL,BHARTIARTLEQN,1945.3,1.02,2215634,3023734,5862324767.18,1925.7,18-Jul-2025,,2174.5,1740.5,19.6,1923.5,0,1956.5,1917.0,2026-07-07 12:32:46,value
