symbol,identifier,lastPrice,pChange,quantityTraded,totalTradedVolume,totalTradedValue,previousClose,exDate,purpose,yearHigh,yearLow,change,open,closePrice,dayHigh,dayLow,lastUpdateTime,fetch_by
IDEA,IDEAEQN,14.06,2.4,781993776,781993776,10916633112.96,13.73,20-Aug-2024,,14.09,6.12,0.33,13.97,14.04,14.09,13.79,2026-05-25 16:00:29,volume
FCL,FCLEQN,39.5,18.83,146582721,146582721,5448479739.57,33.24,31-Oct-2025,,39.83,19.1,6.26,33.7,39.03,39.83,33.61,2026-05-25 16:00:29,volume
SUZLON,SUZLONEQN,53.5,-0.47,132667695,132667695,7186609038.15,53.75,03-Sep-2024,,74.3,38.19,-0.25,54.75,53.99,54.9,53.1,2026-05-25 16:00:29,volume
DAVANGERE,DAVANGEREEQN,4.08,-7.27,123494645,123494645,507562990.95,4.4,06-Aug-2025,,5.5,3.03,-0.32,4.59,4.1,4.59,3.98,2026-05-25 16:00:29,volume
JPPOWER,JPPOWEREQN,18.91,0.8,115033020,115033020,2191379031.0,18.76,26-Aug-2024,,27.7,13.15,0.15,19.07,18.88,19.42,18.79,2026-05-25 16:00:29,volume
HFCL,HFCLEQN,163.03,10.0,106724688,106724688,17177338533.6,148.21,08-Sep-2025,,163.03,59.82,14.82,158.9,162.84,163.03,155.0,2026-05-25 16:00:29,volume
OLAELEC,OLAELECEQN,37.88,5.19,96157095,96157095,3594352211.1,36.01,,,71.25,22.25,1.87,36.49,37.89,38.15,36.36,2026-05-25 16:00:29,volume
APOLLO,APOLLOEQN,405.0,14.07,89965101,89965101,35458844908.14,355.05,08-Sep-2025,,419.8,135.5,49.95,360.0,408.2,419.8,360.0,2026-05-25 16:00:29,volume
ADANIPOWER,ADANIPOWEREQN,234.12,6.75,73847208,73847208,16930949378.16,219.32,22-Sep-2025,,234.6,105.42,14.8,221.0,233.38,234.6,220.31,2026-05-25 16:00:29,volume
WIPRO,WIPROEQN,206.0,1.42,72041558,72041558,14938537466.88,203.11,05-Jun-2026,,273.1,186.5,2.89,207.0,206.84,209.55,204.06,2026-05-25 16:00:29,volume
YESBANK,YESBANKEQN,22.33,2.1,69502731,69502731,1543655655.51,21.87,03-Jun-2019,,24.3,17.2,0.46,22.14,22.29,22.4,22.01,2026-05-25 16:00:29,volume
PCJEWELLER,PCJEWELLEREQN,9.01,7.65,66828298,66828298,583411041.54,8.37,16-Dec-2024,,19.65,7.47,0.64,8.46,8.92,9.01,8.43,2026-05-25 16:00:29,volume
SPARC,SPARCEQN,235.8,12.41,60716079,60716079,13801979078.28,209.77,21-Sep-2021,,239.4,108.0,26.03,214.0,232.99,239.4,212.0,2026-05-25 16:00:29,volume
HCC,HCCEQN,22.32,6.95,60690716,60690716,1343085545.08,20.87,05-Dec-2025,,31.42,13.65,1.45,21.25,22.38,22.86,21.19,2026-05-25 16:00:29,volume
GTLINFRA,GTLINFRAEQN,1.35,3.05,48909167,48909167,66027375.45,1.31,21-Sep-2015,,2.17,0.96,0.04,1.32,1.35,1.38,1.32,2026-05-25 16:00:29,volume
TATSILV,TATSILVEQN,26.02,1.56,47823689,47823689,1241502966.44,25.62,,,35.1,9.34,0.4,25.63,25.98,26.11,25.63,2026-05-25 16:00:29,volume
TATAGOLD,TATAGOLDEQN,15.32,0.07,44586646,44586646,682621550.26,15.31,,,17.7,8.0,0.01,14.92,15.31,15.45,14.92,2026-05-25 16:00:29,volume
DHARAN,DHARANBZN,0.13,8.33,0,44055369,5286644.28,0.12,04-Apr-2025,,0.67,0.11,0.01,0.12,0.13,0.13,0.11,2026-05-25 16:00:29,volume
SAMMAANCAP,SAMMAANCAPEQN,168.51,4.37,41737350,41737350,6962624727.0,161.46,20-Sep-2024,,192.95,114.1,7.05,163.6,168.56,169.18,161.75,2026-05-25 16:00:29,volume
GAIL,GAILEQN,168.41,4.75,36426464,36426464,6142958888.96,160.77,05-Feb-2026,,202.79,134.36,7.64,162.92,168.67,170.7,162.7,2026-05-25 16:00:29,volume
