INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TURN_OVER,TRADED_QTY,TIMESTAMP
NIFTY 50,25863.8,25953.75,25722.1,25711.2,28788.4,334384400,31-OCT-2025
NIFTY 50,25696.85,25803.1,25763.35,25645.5,23949.88,275858501,03-NOV-2025
NIFTY 50,25744.75,25787.4,25597.65,25578.4,29307.41,305143084,04-NOV-2025
NIFTY 50,25593.35,25679.15,25509.7,25491.55,36129.62,371852417,06-NOV-2025
NIFTY 50,25433.8,25551.25,25492.3,25318.45,35487.0,305606393,07-NOV-2025
NIFTY 50,25503.5,25653.45,25574.35,25503.5,25023.65,243592948,10-NOV-2025
NIFTY 50,25617.0,25715.8,25694.95,25449.25,28285.51,297714069,11-NOV-2025
NIFTY 50,25834.3,25934.55,25875.8,25781.15,30633.19,343864299,12-NOV-2025
NIFTY 50,25906.1,26010.7,25879.15,25808.4,30145.74,385170023,13-NOV-2025
NIFTY 50,25767.9,25940.2,25910.05,25740.8,33121.81,518943416,14-NOV-2025
NIFTY 50,25948.2,26024.2,26013.45,25906.35,23384.35,264610565,17-NOV-2025
NIFTY 50,26021.8,26029.85,25910.05,25876.5,26059.6,280000989,18-NOV-2025
NIFTY 50,25918.1,26074.65,26052.65,25856.2,24496.86,250110008,19-NOV-2025
NIFTY 50,26132.1,26246.65,26192.15,26063.2,25000.17,240425729,20-NOV-2025
NIFTY 50,26109.55,26179.2,26068.15,26052.2,24720.07,235581427,21-NOV-2025
NIFTY 50,26122.8,26142.8,25959.5,25912.15,44895.45,464655063,24-NOV-2025
NIFTY 50,25998.5,26032.6,25884.8,25857.5,25320.15,260454909,25-NOV-2025
NIFTY 50,25842.95,26215.15,26205.3,25842.95,31666.03,275265169,26-NOV-2025
NIFTY 50,26261.25,26310.45,26215.55,26141.9,25306.47,240287057,27-NOV-2025
NIFTY 50,26237.45,26280.75,26202.95,26172.4,20525.36,202511545,28-NOV-2025
NIFTY 50,26325.8,26325.8,26175.75,26124.2,21734.75,213828573,01-DEC-2025
NIFTY 50,26087.95,26154.6,26032.2,25997.85,26298.82,254803113,02-DEC-2025
NIFTY 50,26004.9,26066.45,25986.0,25891.0,25320.85,265660108,03-DEC-2025
NIFTY 50,25981.85,26098.25,26033.75,25938.95,26377.76,248099545,04-DEC-2025
NIFTY 50,25999.8,26202.6,26186.45,25985.35,27491.07,249254405,05-DEC-2025
NIFTY 50,26159.8,26178.7,25960.55,25892.25,31677.57,320729920,08-DEC-2025
NIFTY 50,25867.1,25923.65,25839.65,25728.0,29894.41,275978160,09-DEC-2025
NIFTY 50,25864.05,25947.65,25758.0,25734.55,21975.7,207944446,10-DEC-2025
NIFTY 50,25771.4,25922.8,25898.55,25693.25,20145.19,206099631,11-DEC-2025
NIFTY 50,25971.2,26057.6,26046.95,25938.45,19484.07,216344338,12-DEC-2025
NIFTY 50,25930.05,26047.15,26027.3,25904.75,17444.03,181557703,15-DEC-2025
NIFTY 50,25951.5,25980.75,25860.1,25834.35,23554.69,264351195,16-DEC-2025
NIFTY 50,25902.4,25929.15,25818.55,25770.35,19787.57,206521258,17-DEC-2025
NIFTY 50,25764.7,25902.35,25815.55,25726.3,20046.07,197553755,18-DEC-2025
NIFTY 50,25911.5,25993.35,25966.4,25880.45,36600.58,382927284,19-DEC-2025
NIFTY 50,26055.85,26180.7,26172.4,26047.8,25333.26,252990050,22-DEC-2025
NIFTY 50,26205.2,26233.55,26177.15,26119.05,19670.5,216553840,23-DEC-2025
NIFTY 50,26170.65,26236.4,26142.1,26123.0,17474.44,188846828,24-DEC-2025
NIFTY 50,26121.25,26144.2,26042.3,26008.6,12263.06,142243763,26-DEC-2025
NIFTY 50,26063.35,26106.8,25942.1,25920.3,18184.45,234312888,29-DEC-2025
NIFTY 50,25940.9,25976.75,25938.85,25878.0,39492.31,396893959,30-DEC-2025
NIFTY 50,25971.05,26187.95,26129.6,25969.0,20703.99,246314941,31-DEC-2025
NIFTY 50,26173.3,26197.55,26146.55,26113.4,23454.66,425631910,01-JAN-2026
NIFTY 50,26155.1,26340.0,26328.55,26118.4,23770.13,357547806,02-JAN-2026
NIFTY 50,26333.7,26373.2,26250.3,26210.05,25742.83,338777649,05-JAN-2026
NIFTY 50,26189.7,26273.95,26178.7,26124.75,34567.52,383040203,06-JAN-2026
NIFTY 50,26143.1,26187.15,26140.75,26067.9,30232.63,338216740,07-JAN-2026
NIFTY 50,26106.5,26133.2,25876.85,25858.45,27556.32,328520950,08-JAN-2026
NIFTY 50,25840.4,25940.6,25683.3,25623.0,27486.64,348757262,09-JAN-2026
NIFTY 50,25669.05,25813.15,25790.25,25473.4,23874.45,275757268,12-JAN-2026
NIFTY 50,25897.35,25899.8,25732.3,25603.3,31434.03,339536336,13-JAN-2026
NIFTY 50,25648.55,25791.75,25665.6,25603.95,28944.88,393126596,14-JAN-2026
NIFTY 50,25696.05,25873.5,25694.35,25662.4,37156.05,434041776,16-JAN-2026
NIFTY 50,25653.1,25653.3,25585.5,25494.35,33632.38,443087953,19-JAN-2026
NIFTY 50,25580.3,25585.0,25232.5,25171.35,31020.36,409772324,20-JAN-2026
NIFTY 50,25141.0,25300.95,25157.5,24919.8,30984.61,395624981,21-JAN-2026
NIFTY 50,25344.15,25435.75,25289.9,25168.5,34583.24,486395433,22-JAN-2026
NIFTY 50,25344.6,25347.95,25048.65,25025.3,31844.65,393944908,23-JAN-2026
NIFTY 50,25063.35,25246.65,25175.4,24932.55,50989.25,618696080,27-JAN-2026
NIFTY 50,25258.85,25372.1,25342.75,25187.65,42364.52,574903942,28-JAN-2026
NIFTY 50,25345.0,25458.15,25418.9,25159.8,44306.95,582389331,29-JAN-2026
NIFTY 50,25247.55,25370.7,25320.65,25213.65,40772.08,508388604,30-JAN-2026
NIFTY 50,25333.75,25440.9,24825.45,24571.75,25572.6,379370206,01-FEB-2026
NIFTY 50,24796.5,25108.1,25088.4,24679.4,34038.26,449215604,02-FEB-2026
NIFTY 50,26308.05,26341.2,25727.55,25641.3,52338.39,637263148,03-FEB-2026
NIFTY 50,25675.05,25818.55,25776.0,25563.95,36899.12,429788986,04-FEB-2026
NIFTY 50,25755.9,25757.65,25642.8,25579.5,28582.32,343812628,05-FEB-2026
NIFTY 50,25605.8,25703.95,25693.7,25491.9,29777.45,375476124,06-FEB-2026
NIFTY 50,25888.7,25922.25,25867.3,25780.9,28449.55,359386006,09-FEB-2026
NIFTY 50,25922.65,25989.45,25935.15,25870.45,32795.1,460878237,10-FEB-2026
NIFTY 50,25997.45,26009.4,25953.85,25899.8,31456.05,331389240,11-FEB-2026
NIFTY 50,25906.7,25906.7,25807.2,25752.4,38977.68,419388014,12-FEB-2026
NIFTY 50,25571.15,25630.35,25471.1,25444.3,40137.15,453523192,13-FEB-2026
NIFTY 50,25423.6,25697.0,25682.75,25372.7,22205.92,325487729,16-FEB-2026
NIFTY 50,25637.95,25764.4,25725.4,25570.3,27818.81,378436265,17-FEB-2026
NIFTY 50,25752.65,25828.05,25819.35,25645.15,22228.22,400807585,18-FEB-2026
NIFTY 50,25873.35,25885.3,25454.35,25388.75,24756.87,333658812,19-FEB-2026
NIFTY 50,25406.55,25663.55,25571.25,25379.75,24024.7,309373691,20-FEB-2026
NIFTY 50,25678.4,25771.45,25713.0,25609.35,25494.64,399135843,23-FEB-2026
NIFTY 50,25641.8,25641.8,25424.65,25327.6,36735.38,439068188,24-FEB-2026
NIFTY 50,25512.6,25652.6,25482.5,25428.2,31084.17,414215742,25-FEB-2026
NIFTY 50,25556.3,25572.95,25496.55,25400.95,33155.5,405219244,26-FEB-2026
NIFTY 50,25459.85,25476.4,25178.65,25141.3,38634.68,438924282,27-FEB-2026
NIFTY 50,24659.25,24989.35,24865.7,24603.5,41306.37,519228821,02-MAR-2026
NIFTY 50,24388.8,24602.45,24480.5,24305.4,47700.19,598993881,04-MAR-2026
NIFTY 50,24615.95,24854.2,24765.9,24529.4,40011.88,504339053,05-MAR-2026
NIFTY 50,24656.4,24700.8,24450.45,24415.75,35453.32,433408256,06-MAR-2026
NIFTY 50,23868.05,24078.15,24028.05,23697.8,40569.31,526901605,09-MAR-2026
