INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TURN_OVER,TRADED_QTY,TIMESTAMP,index_name
NIFTY BANK,57643.75,58148.8,57757.85,57545.2,8790.46,230970224,15-JUL-2026,NIFTY BANK
NIFTY BANK,57832.55,57840.05,57462.3,57286.9,8016.84,206834900,14-JUL-2026,NIFTY BANK
NIFTY BANK,57616.7,58219.9,58131.45,57492.05,6997.35,210287279,13-JUL-2026,NIFTY BANK
NIFTY BANK,57592.5,58251.95,58045.9,57576.7,7144.41,235609950,10-JUL-2026,NIFTY BANK
NIFTY BANK,56871.0,57464.2,57252.45,56867.3,9445.81,231570751,09-JUL-2026,NIFTY BANK
NIFTY BANK,57918.25,58075.6,56742.6,56549.4,10349.47,304865203,08-JUL-2026,NIFTY BANK
NIFTY BANK,58567.85,58581.1,58200.7,58110.1,11929.0,261922414,07-JUL-2026,NIFTY BANK
NIFTY BANK,57983.9,58477.3,58291.5,57938.65,12163.94,284447133,06-JUL-2026,NIFTY BANK
NIFTY BANK,58343.25,58343.25,57938.5,57799.05,9480.81,326266951,03-JUL-2026,NIFTY BANK
NIFTY BANK,58134.5,58396.1,58031.65,57884.6,10046.33,273279890,02-JUL-2026,NIFTY BANK
NIFTY BANK,57573.35,58134.15,58033.05,57487.85,7701.11,260449994,01-JUL-2026,NIFTY BANK
NIFTY BANK,58011.95,58011.95,57542.9,57456.65,12174.39,398655816,30-JUN-2026,NIFTY BANK
NIFTY BANK,58191.45,58318.05,57727.35,57637.25,15216.72,529807813,29-JUN-2026,NIFTY BANK
NIFTY BANK,58493.85,58706.05,58177.05,58109.85,11723.43,296548901,25-JUN-2026,NIFTY BANK
NIFTY BANK,57074.9,58256.35,58150.35,57074.9,10087.13,283234744,24-JUN-2026,NIFTY BANK
NIFTY BANK,57886.75,57970.9,57183.75,57078.45,8078.02,267194713,23-JUN-2026,NIFTY BANK
NIFTY BANK,57906.9,58009.1,57935.6,57720.1,6179.56,293508621,22-JUN-2026,NIFTY BANK
NIFTY BANK,57754.95,57804.9,57685.75,57464.55,8320.26,285767830,19-JUN-2026,NIFTY BANK
NIFTY BANK,57596.45,58021.25,57963.8,57583.2,9497.94,409619907,18-JUN-2026,NIFTY BANK
NIFTY BANK,57434.05,57646.15,57585.05,57222.4,8606.79,583416456,17-JUN-2026,NIFTY BANK
NIFTY BANK,57320.1,57399.7,57297.15,57076.25,8421.31,375449405,16-JUN-2026,NIFTY BANK
NIFTY BANK,57679.65,57804.5,57198.8,57119.2,10405.77,350698837,15-JUN-2026,NIFTY BANK
NIFTY IT,28412.8,28725.25,28532.25,28223.8,4189.04,33830347,15-JUL-2026,NIFTY IT
NIFTY IT,29020.4,29285.05,28724.75,28674.5,6820.79,55261176,14-JUL-2026,NIFTY IT
NIFTY IT,27880.55,29272.65,29015.85,27856.1,9601.43,76267153,13-JUL-2026,NIFTY IT
NIFTY IT,28043.5,28439.55,28010.35,27870.0,5559.58,44530191,10-JUL-2026,NIFTY IT
NIFTY IT,27495.5,27646.45,27471.25,27014.5,3344.89,29656636,09-JUL-2026,NIFTY IT
NIFTY IT,27915.2,28067.85,27555.2,27468.85,4195.03,42398645,08-JUL-2026,NIFTY IT
NIFTY IT,27248.3,28156.2,27939.15,27248.3,6417.03,58542301,07-JUL-2026,NIFTY IT
NIFTY IT,27489.85,27502.6,27276.45,27127.45,2548.75,23242187,06-JUL-2026,NIFTY IT
NIFTY IT,27482.4,27759.55,27439.4,27286.55,6541.82,68393888,03-JUL-2026,NIFTY IT
NIFTY IT,26141.75,27030.95,26965.05,26132.0,7184.14,84304908,02-JUL-2026,NIFTY IT
NIFTY IT,26381.0,26505.75,25769.8,25699.1,5326.45,66473249,01-JUL-2026,NIFTY IT
NIFTY IT,26989.95,27032.2,26299.05,26208.5,7043.96,71622605,30-JUN-2026,NIFTY IT
NIFTY IT,27172.2,27313.35,27038.5,26965.35,8187.52,64949381,29-JUN-2026,NIFTY IT
NIFTY IT,27801.4,27881.0,27330.85,27295.1,6041.35,55647112,25-JUN-2026,NIFTY IT
NIFTY IT,27046.4,27705.95,27566.7,27036.1,5883.59,85445480,24-JUN-2026,NIFTY IT
NIFTY IT,27416.45,27428.5,27012.05,26955.5,5824.14,60426466,23-JUN-2026,NIFTY IT
NIFTY IT,27531.0,27856.4,27628.55,27531.0,4067.26,34937129,22-JUN-2026,NIFTY IT
NIFTY IT,27012.15,27527.75,27426.85,26634.5,12912.4,124483646,19-JUN-2026,NIFTY IT
NIFTY IT,28592.4,28662.9,28466.45,28262.65,5175.57,50731728,18-JUN-2026,NIFTY IT
NIFTY IT,28759.05,29007.0,28809.55,28688.4,3596.07,35881888,17-JUN-2026,NIFTY IT
NIFTY IT,28237.05,28663.85,28568.1,28124.3,4846.02,41726573,16-JUN-2026,NIFTY IT
NIFTY IT,28178.85,28384.25,28067.85,27955.05,3300.78,32994846,15-JUN-2026,NIFTY IT
NIFTY AUTO,26603.7,26844.35,26645.1,26573.2,4117.38,43940138,15-JUL-2026,NIFTY AUTO
NIFTY AUTO,26753.75,26817.0,26547.5,26504.6,4259.77,55346719,14-JUL-2026,NIFTY AUTO
NIFTY AUTO,26631.6,27033.85,26981.5,26490.0,4532.43,51418619,13-JUL-2026,NIFTY AUTO
NIFTY AUTO,26847.45,26976.45,26860.75,26774.15,3916.62,55308516,10-JUL-2026,NIFTY AUTO
NIFTY AUTO,26775.95,26946.2,26676.35,26613.9,4324.08,53511313,09-JUL-2026,NIFTY AUTO
NIFTY AUTO,27168.0,27367.15,26733.4,26620.85,5682.17,75044334,08-JUL-2026,NIFTY AUTO
NIFTY AUTO,27414.25,27452.8,27343.5,27244.6,4484.89,70284809,07-JUL-2026,NIFTY AUTO
NIFTY AUTO,27047.5,27388.5,27353.95,26936.15,3709.71,49736995,06-JUL-2026,NIFTY AUTO
NIFTY AUTO,27303.25,27308.8,26988.1,26949.35,3919.63,54899381,03-JUL-2026,NIFTY AUTO
NIFTY AUTO,26965.55,27141.4,27108.2,26777.1,6157.35,84714311,02-JUL-2026,NIFTY AUTO
NIFTY AUTO,26585.15,26965.45,26783.2,26585.15,6253.03,86073259,01-JUL-2026,NIFTY AUTO
NIFTY AUTO,26537.0,26664.3,26479.8,26067.7,8803.91,84746241,30-JUN-2026,NIFTY AUTO
NIFTY AUTO,26858.2,26978.4,26417.6,26334.75,13722.57,179799336,29-JUN-2026,NIFTY AUTO
