symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange,legend
HCLTECH,EQ,1135.0,1175.0,1134.0,1170.0,1134.2,3.16,5179529,60246.209516400006,N,24-Apr-2026,Interim Dividend - Rs 24 Per Share,3.16,NIFTY
TECHM,EQ,1398.5,1463.3,1398.5,1447.0,1406.5,2.88,4066916,58826.71986520001,N,03-Jul-2026,Dividend - Rs 36 Per Share,2.88,NIFTY
INFY,EQ,1040.6,1087.5,1040.6,1071.9,1042.2,2.85,18866296,202797.5889632,N,10-Jun-2026,Dividend - Rs 25 Per Share,2.85,NIFTY
SBILIFE,EQ,1773.0,1848.0,1773.0,1835.0,1787.7,2.65,1702487,31169.8129908,N,06-Mar-2026,Interim Dividend - Rs 2.70 Per Share,2.65,NIFTY
TITAN,EQ,4550.0,4655.9,4505.0,4591.2,4484.4,2.38,3385946,155609.613295,N,09-Jul-2026,Dividend - Rs 15 Per Share,2.38,NIFTY
ETERNAL,EQ,283.8,291.0,283.55,289.3,283.4,2.08,45305615,130729.3520825,N,-,-,2.08,NIFTY
TCS,EQ,2050.0,2122.7,2049.0,2095.9,2057.6,1.86,4769048,100075.13394639999,N,25-May-2026,Dividend - Rs 31 Per Share,1.86,NIFTY
HDFCLIFE,EQ,565.5,573.8,563.1,572.75,564.2,1.52,2585422,14712.085348800001,N,19-Jun-2026,Dividend - Rs 2.10 Per Share,1.52,NIFTY
JIOFIN,EQ,239.95,245.25,239.45,243.0,240.0,1.25,23069644,56070.769742,N,11-Aug-2025,Dividend - Re 0.50 Per Share,1.25,NIFTY
BAJFINANCE,EQ,1024.0,1052.9,1024.0,1039.4,1029.1,1.0,9101171,94551.1554019,N,30-Jun-2026,Dividend - Rs 6 Per Share,1.0,NIFTY
EICHERMOT,EQ,7499.0,7603.0,7481.5,7533.5,7471.5,0.83,592213,44751.345221899996,N,01-Aug-2025,Dividend - Rs 70 Per Share,0.83,NIFTY
BAJAJFINSV,EQ,1871.8,1899.0,1871.8,1885.9,1870.7,0.81,877577,16565.143452,N,30-Jun-2026,Dividend - Rs 1.50 Per Share,0.81,NIFTY
BAJAJ-AUTO,EQ,10040.0,10190.0,10020.5,10105.0,10036.5,0.68,172975,17493.4633775,N,24-Jun-2026,Buy Back,0.68,NIFTY
MARUTI,EQ,14463.0,14598.0,14414.0,14528.0,14456.0,0.5,524759,76180.10364439999,N,07-Aug-2026,Dividend - Rs 140 Per Share,0.5,NIFTY
TATACONSUM,EQ,1111.2,1130.0,1108.3,1121.1,1117.9,0.29,1423870,15937.092136,N,25-May-2026,Dividend - Rs 10 Per Share,0.29,NIFTY
KOTAKBANK,EQ,381.5,382.9,378.65,382.15,381.3,0.22,23216875,88486.4756875,N,14-Jan-2026,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,0.22,NIFTY
JSWSTEEL,EQ,1236.0,1252.8,1221.2,1237.4,1243.2,0.11,2548642,31721.4177888,N,07-Jul-2026,Dividend - Rs 7.10 Per Share,-0.47,NIFTY
SHRIRAMFIN,EQ,1070.0,1087.3,1058.7,1062.9,1062.3,0.06,8356697,89791.0379256,N,03-Jul-2026,Dividend - Rs 6 Per Share,0.06,NIFTY
