symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange,legend
TCS,EQ,2385.0,2391.0,2326.1,2366.0,2431.8,-2.71,4343683,102695.5253275,N,15-Jul-2026,Interim Dividend - Rs 12 Per Share,-2.71,NIFTY
ETERNAL,EQ,312.5,316.0,301.8,302.65,310.65,-2.58,36770653,112481.427527,N,-,-,-2.58,NIFTY
INFY,EQ,1118.9,1139.3,1107.2,1129.9,1155.1,-2.18,14367075,162076.4097825,N,10-Jun-2026,Dividend - Rs 25 Per Share,-2.18,NIFTY
MAXHEALTH,EQ,1126.0,1132.0,1091.2,1101.4,1124.8,-2.08,2055225,22748.05239,N,03-Jul-2026,Dividend - Rs 2 Per Share,-2.08,NIFTY
ITC,EQ,285.55,285.8,280.05,281.0,285.05,-1.42,16833813,47407.3841706,N,27-May-2026,Dividend - Rs 8 Per Share,-1.42,NIFTY
WIPRO,EQ,184.85,185.24,180.83,183.75,186.33,-1.38,18762810,34420.374945,N,27-Jul-2026,Interim Dividend - Rs 2 Per Share,-1.38,NIFTY
ADANIENT,EQ,3051.0,3067.5,3002.4,3009.1,3049.1,-1.31,866401,26202.8253633,N,12-Jun-2026,Dividend - Rs 1.30 Per Share,-1.31,NIFTY
TATACONSUM,EQ,1098.9,1098.9,1081.0,1082.1,1094.2,-1.11,1479617,16056.5077606,N,25-May-2026,Dividend - Rs 10 Per Share,-1.11,NIFTY
NESTLEIND,EQ,1529.0,1529.0,1497.5,1505.0,1520.7,-1.03,2501825,37768.8011125,N,10-Jul-2026,Dividend - Rs 5 Per Share,-1.03,NIFTY
INDIGO,EQ,5260.0,5282.0,5137.5,5177.0,5230.5,-1.02,462900,24084.45555,N,13-Aug-2025,Dividend - Rs 10 Per Share,-1.02,NIFTY
TECHM,EQ,1620.0,1661.5,1610.5,1653.9,1669.0,-0.9,3355677,55339.476110100004,N,03-Jul-2026,Dividend - Rs 36 Per Share,-0.9,NIFTY
HDFCBANK,EQ,753.95,757.55,747.2,748.0,753.95,-0.79,25522483,191321.63706459999,N,19-Jun-2026,Dividend - Rs 13 Per Share,-0.79,NIFTY
SUNPHARMA,EQ,2016.4,2046.9,1965.3,1987.0,2001.1,-0.7,4954449,99279.2308416,N,07-Jul-2026,Dividend - Rs 5 Per Share,-0.7,NIFTY
POWERGRID,EQ,286.3,287.4,283.0,284.2,285.7,-0.53,7804310,22175.166434000002,N,09-Feb-2026,Interim Dividend - Rs 3.25 Per Share,-0.53,NIFTY
APOLLOHOSP,EQ,9025.0,9036.5,8931.0,8941.0,8988.0,-0.52,268253,24053.978257,N,16-Feb-2026,Interim Dividend - Rs 10 Per Sh,-0.52,NIFTY
HCLTECH,EQ,1317.7,1356.5,1294.3,1345.7,1352.7,-0.52,3369019,45148.5605209,N,17-Jul-2026,Interim Dividend - Rs 12 Per Share,-0.52,NIFTY
HINDUNILVR,EQ,2119.6,2119.6,2091.1,2099.4,2107.9,-0.4,1759019,36959.1000128,N,23-Jun-2026,Dividend - Rs 22 Per Share,-0.4,NIFTY
ASIANPAINT,EQ,2773.9,2774.9,2732.4,2738.0,2746.2,-0.3,891738,24521.3682192,N,23-Jun-2026,Dividend - Rs 23 Per Share,-0.3,NIFTY
GRASIM,EQ,3115.7,3135.9,3092.6,3096.0,3104.8,-0.28,309447,9621.9759627,N,07-Aug-2026,Dividend - Rs 10 Per Share,-0.28,NIFTY
AXISBANK,EQ,1226.2,1239.7,1226.0,1227.1,1228.9,-0.15,7487936,92081.3953728,N,10-Jul-2026,Dividend - Re 1 Per Share,-0.15,NIFTY
INDUSINDBK,EQ,1011.45,1017.9,996.4,1011.0,1011.45,-0.04,2922821,29527.7991525,N,25-Jun-2026,Dividend - Rs 1.50 Per Share,-0.04,BANKNIFTY
KOTAKBANK,EQ,390.2,391.85,388.0,388.85,389.4,-0.14,7014637,27361.293082199998,N,17-Jul-2026,Dividend - Rs 0.65 Per Share,-0.14,BANKNIFTY
AXISBANK,EQ,1226.2,1239.7,1226.0,1227.1,1228.9,-0.15,7487936,92081.3953728,N,10-Jul-2026,Dividend - Re 1 Per Share,-0.15,BANKNIFTY
HDFCBANK,EQ,753.95,757.55,747.2,748.0,753.95,-0.79,25522483,191321.63706459999,N,19-Jun-2026,Dividend - Rs 13 Per Share,-0.79,BANKNIFTY
LODHA,EQ,1285.4,1297.0,1239.55,1243.2,1287.15,-3.41,3593817,45365.111372700005,N,22-Aug-2025,Dividend - Rs 4.25 Per Share,-3.41,NIFTYNEXT50
VBL,EQ,451.0,451.0,439.85,440.0,451.35,-2.41,7987191,35508.6550287,N,31-Jul-2026,Interim Dividend - Re 0.50 Per Share,-2.51,NIFTYNEXT50
LTM,EQ,4385.1,4385.1,4284.0,4365.4,4441.4,-1.71,253082,11020.5316146,N,25-May-2026,Dividend - Rs 53 Per Share,-1.71,NIFTYNEXT50
PIDILITIND,EQ,1630.5,1637.9,1601.0,1607.7,1629.9,-1.36,821463,13270.734765,N,23-Jul-2026,Dividend - Rs 11.50 Per Share,-1.36,NIFTYNEXT50
ADANIENSOL,EQ,1666.0,1682.0,1628.8,1638.0,1659.0,-1.27,1779312,29376.974913600003,N,14-Jun-2024,Annual General Meeting,-1.27,NIFTYNEXT50
INDHOTEL,EQ,751.2,757.4,736.85,739.8,749.25,-1.26,2772348,20648.7251388,N,23-Jun-2026,Dividend - Rs 3.25 Per Share,-1.26,NIFTYNEXT50
BOSCHLTD,EQ,41590.0,41715.0,40920.0,41060.0,41550.0,-1.18,19054,7853.9692462,N,04-Aug-2026,Dividend - Rs 270 Per Share,-1.18,NIFTYNEXT50
VEDL,EQ,268.8,269.0,263.0,264.35,267.5,-1.18,15446979,41036.4444114,N,30-Apr-2026,Demerger,-1.18,NIFTYNEXT50
UNITDSPR,EQ,1532.9,1535.0,1510.6,1515.0,1531.9,-1.1,784002,11921.220811199999,N,08-Jul-2026,Dividend - Rs 11 Per Share,-1.1,NIFTYNEXT50
ABB,EQ,7350.5,7485.0,7201.5,7244.0,7291.5,-0.65,348950,25807.399835,N,30-Apr-2026,Dividend - Rs 29.59 Per Share,-0.65,NIFTYNEXT50
GODREJCP,EQ,1071.2,1076.3,1054.7,1066.2,1072.1,-0.55,674686,7204.297108,N,12-May-2026,Interim Dividend - Rs 5 Per Share,-0.55,NIFTYNEXT50
BRITANNIA,EQ,5445.0,5460.0,5364.0,5405.0,5524.5,-0.53,428290,23145.905154,N,31-Jul-2026,Dividend - Rs 90.50 Per Share,-2.16,NIFTYNEXT50
AMBUJACEM,EQ,435.2,438.95,430.25,432.0,434.2,-0.51,1202393,5208.8867153,N,12-Jun-2026,Dividend - Rs 2 Per Share,-0.51,NIFTYNEXT50
ASIANTILES,EQ,59.75,59.75,54.64,54.64,60.71,-10.0,10893154,6096.8982938,N,30-Jul-2024,Annual General Meeting,-10.0,SecGtr20
THANGAMAYL,EQ,5450.0,5450.0,5226.5,5226.5,5807.0,-10.0,748277,39466.5234664,N,22-Jul-2026,Dividend - Rs 18 Per Share,-10.0,SecGtr20
SIGNPOST,EQ,310.0,311.45,281.35,283.1,311.2,-9.03,218833,643.7848027,N,19-Sep-2025,Dividend - Re 0.50 Per Share,-9.03,SecGtr20
NUCLEUS,EQ,698.0,704.75,682.0,683.1,738.15,-7.46,179428,1237.8558292,N,10-Jul-2026,Dividend - Rs 12.50 Per Share,-7.46,SecGtr20
SATIN,EQ,262.88,269.99,237.5,238.5,257.42,-7.35,2632579,6616.9873165,N,04-Aug-2020,Rights 48:125 @ Premium Rs 50/-,-7.35,SecGtr20
APTUS,EQ,277.5,288.4,256.0,260.5,277.2,-6.02,5845612,15793.0899404,N,15-May-2026,Interim Dividend - Rs 2.50 Per Share,-6.02,SecGtr20
TECHNVISN,EQ,4557.7,4561.2,4415.0,4456.2,4734.6,-5.88,639,28.5972948,N,-,-,-5.88,SecGtr20
ACI,EQ,556.0,562.15,520.05,529.9,561.2,-5.58,766730,4157.056713999999,N,05-Jun-2026,Dividend - Rs 2.50 Per Share,-5.58,SecGtr20
SAPPHIRE,EQ,194.81,195.0,183.55,184.45,195.25,-5.53,2311099,4312.279624100001,N,05-Sep-2024,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,-5.53,SecGtr20
SANGHVIMOV,EQ,435.0,454.0,393.45,410.0,433.95,-5.52,2026770,8412.514239,N,12-Sep-2025,Dividend - Rs 2 Per Share,-5.52,SecGtr20
SAGILITY,EQ,45.98,46.19,43.2,43.48,45.98,-5.44,39492620,17471.535088,N,07-Aug-2026,Dividend - Re 0.10 Per Share,-5.44,SecGtr20
STARTECK,EQ,265.45,266.2,252.6,252.6,266.7,-5.29,7117,18.9205445,N,11-Aug-2025,Dividend - Re 0.25 Per Share,-5.29,SecGtr20
PREMIERPOL,EQ,74.63,74.63,69.01,69.73,73.53,-5.17,315123,223.64279309999998,N,17-Sep-2025,Dividend - Re 0.15 Per Share,-5.17,SecGtr20
JNKINDIA,EQ,466.4,466.4,428.05,434.95,458.5,-5.14,288469,1276.1291621999999,N,18-Sep-2025,Dividend - Re 0.30 Per Share,-5.14,SecGtr20
OAL,EQ,381.0,381.05,360.15,361.6,380.85,-5.05,52910,194.724673,N,08-Aug-2025,Dividend - Re 0.50 Per Share,-5.05,SecGtr20
BALAMINES,EQ,2243.9,2258.4,2107.4,2131.0,2243.4,-5.01,198007,4315.3249566,N,03-Jul-2026,Dividend - Rs 11 Per Share,-5.01,SecGtr20
EVERESTIND,BE,458.05,470.0,449.4,449.4,473.05,-5.0,19382,88.3644762,N,27-Jul-2026,Dividend - Re 1 Per Share,-5.0,SecGtr20
SICALLOG,EQ,121.9,122.5,111.22,111.22,117.07,-5.0,152074,179.8883346,N,18-Feb-2026,Rights 11:5 @ Premium Rs 54/-,-5.0,SecGtr20
MARALOVER,BE,58.36,58.36,58.36,58.36,61.43,-5.0,12707,7.4158052,N,20-Aug-2024,Annual General Meeting,-5.0,SecGtr20
GOCOLORS,EQ,336.65,341.45,324.0,325.85,343.0,-5.0,636894,2093.6616462,N,09-Feb-2026,Buy Back,-5.0,SecGtr20
VIPULLTD,BE,12.44,12.44,12.05,12.05,12.68,-4.97,142434,17.2060272,N,13-Sep-2024,Annual General Meeting,-4.97,SecLwr20
PRAXIS,BE,6.6,6.6,6.12,6.12,6.44,-4.97,433648,26.6259872,N,20-Mar-2025,Rights 11:30 @ Premium Rs 5/-,-4.97,SecLwr20
RAJTV,EQ,11.97,12.03,11.32,11.32,11.91,-4.95,211872,24.153408,N,23-Sep-2024,Annual General Meeting,-4.95,SecLwr20
SABEVENTS,EQ,5.96,6.25,5.96,5.96,6.27,-4.94,6365,0.38380949999999997,N,09-Sep-2024,Annual General Meeting,-4.94,SecLwr20
SADBHAV,EQ,9.5,9.5,9.08,9.08,9.55,-4.92,157932,14.4665712,N,23-Sep-2024,Annual General Meeting,-4.92,SecLwr20
TVVISION,EQ,4.79,4.79,4.55,4.56,4.79,-4.8,36762,1.6873757999999999,N,23-Aug-2024,Annual General Meeting,-4.8,SecLwr20
RETAIL,EQ,17.28,17.5,16.3,16.45,17.28,-4.8,3692,0.6269016000000001,N,-,-,-4.8,SecLwr20
PNC,EQ,20.55,20.57,19.06,19.5,20.47,-4.74,4988,0.9990964,N,19-Sep-2024,Annual General Meeting,-4.74,SecLwr20
NARMADA,EQ,19.99,21.67,16.51,17.3,36.19,-4.42,8232988,1518.1629872,N,31-Jul-2026,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,-52.2,SecLwr20
MMWL,BE,14.51,14.51,13.55,13.71,14.24,-3.72,1726,0.23870580000000002,N,18-Sep-2014,Annual General Meeting,-3.72,SecLwr20
FLEXITUFF,BE,4.59,4.59,4.28,4.34,4.5,-3.56,145789,6.268927,N,06-Sep-2018,Annual General Meeting,-3.56,SecLwr20
LEXUS,EQ,15.27,15.27,14.51,14.51,15.02,-3.4,27891,4.1529698999999995,N,22-Oct-2024,Extra Ordinary General Meeting,-3.4,SecLwr20
COUNCODOS,EQ,6.17,6.3,5.81,5.97,6.17,-3.24,63108,3.7801692,N,23-Aug-2024,Annual General Meeting,-3.24,SecLwr20
MADHAVIPL,EQ,8.0,8.0,7.76,7.8,8.03,-2.86,175784,13.7463088,N,-,-,-2.86,SecLwr20
TGBHOTELS,EQ,9.75,9.9,9.3,9.36,9.63,-2.8,22661,2.1414645,N,16-Sep-2021,Annual General Meeting,-2.8,SecLwr20
DRCSYSTEMS,EQ,13.7,13.79,12.36,13.13,13.48,-2.6,71949,9.4037343,N,09-Sep-2024,Annual General Meeting,-2.6,SecLwr20
LASA,EQ,6.81,7.14,6.8,6.8,6.98,-2.58,64878,4.4960454,N,20-Sep-2024,Annual General Meeting,-2.58,SecLwr20
EXXARO,EQ,6.29,6.41,6.01,6.15,6.31,-2.54,941299,57.795758600000006,N,13-Dec-2024,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,-2.54,SecLwr20
EMETAL,EQ,13.1,15.21,12.63,12.8,13.1,-2.29,115195,15.850831999999999,N,-,-,-2.29,SecLwr20
UNIINFO,BE,12.29,12.29,11.68,12.02,12.29,-2.2,764,0.09152719999999999,N,20-Sep-2024,Annual General Meeting,-2.2,SecLwr20
APLAPOLLO,EQ,1908.0,1908.0,1805.0,1808.0,1893.1,-4.5,883345,16311.583766500002,N,22-Aug-2025,Dividend - Rs 5.75 Per Share,-4.5,FOSec
DIXON,EQ,14335.0,14589.0,13601.0,13751.0,14338.0,-4.09,634727,90418.5749129,N,16-Sep-2025,Dividend - Rs 8 Per Share,-4.09,FOSec
